name,label,summary,description
python3-lxml,库, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 3 version."
libusal,库, Library to communicate with SCSI devices," The libusal package contains C libraries that allows applications
to communicate with SCSI devices and is well suitable for writing
CD-R media."
perl-Params-Validate,库, Params-Validate Perl module," The Params::Validate module allows you to validate method or function
call parameters to an arbitrary level of specificity. At the simplest
level, it is capable of validating the required parameters were given
and that no unspecified additional parameters were passed in. It is
also capable of determining that a parameter is of a specific type,
that it is an object of a certain class hierarchy, that it possesses
certain methods, or applying validation callbacks to arguments."
mingw64-libffi,库, A portable foreign function interface library for MinGW, Foreign function interface library for MinGW.
python3-qt5,库, Python 3 bindings for Qt5, Python 3 bindings for Qt5.
lua-json,库, JSON Parser/Constructor for Lua," LuaJSON is a customizable JSON decoder/encoder, using LPEG for parsing."
perl-Package-Stash,库, Routines for manipulating stashes," Manipulating stashes (Perl's symbol tables) is occasionally necessary, but
incredibly messy, and easy to get wrong. This module hides all of that behind
a simple API."
felix-osgi-foundation-javadoc,库, API documentation for felix-osgi-foundation, This package contains API documentation for felix-osgi-foundation.
rubygem-rss,库," Family of libraries that support various formats of XML ""feeds"""," Really Simple Syndication (RSS) is a family of formats that describe 'feeds',
specially constructed XML documents that allow an interested person to subscribe
and receive updates from a particular web service. This library provides tooling
to read and create these feeds."
libwayland-egl,库, Wayland egl library, Wayland egl library
usbguard-notifier,库, A tool for detecting usbguard policy and device presence changes," The usbguard-notifier package detects usbguard policy modifications as well as
device presence changes and displays them as pop-up notifications."
java-17-openjdk-headless-slowdebug,库, OpenJDK 17 Runtime Environment unoptimised with full debugging on," The OpenJDK 17 runtime environment without audio and video support.
This package is unoptimised with full debugging. Install only as needed and remove ASAP."
libupnp,库, Universal Plug and Play (UPnP) SDK," The Universal Plug and Play (UPnP) SDK for Linux provides
support for building UPnP-compliant control points, devices,
and bridges on Linux."
librevenge-gdb,库, gdb pretty printers for librevenge," The librevenge-devel package contains gdb pretty printers that help with
debugging applications that use librevenge."
dotnet-runtime-3.1,库, NET Core 3.1 runtime," The .NET Core runtime contains everything needed to run .NET Core applications.
It includes a high performance Virtual Machine as well as the framework
libraries used by .NET Core applications.

.NET Core is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
openslp,库, Open implementation of Service Location Protocol V2," Service Location Protocol is an IETF standards track protocol that
provides a framework to allow networking applications to discover the
existence, location, and configuration of networked services in
enterprise networks.

OpenSLP is an open source implementation of the SLPv2 protocol as defined
by RFC 2608 and RFC 2614."
python38-wheel-wheel,库, The Python wheel module packaged as a wheel, A Python wheel of wheel to use with virtualenv.
python3-kmod,库, Python module to work with kernel modules," Python module to allow listing, loading, and unloading
Linux kernel modules, using libkmod."
plexus-compiler,库, Compiler call initiators for Plexus," Plexus Compiler adds support for using various compilers from a
unified api. Support for javac is available in main package. For
additional compilers see plexus-compiler-extras package."
spice-gtk3,库, A GTK3 widget for SPICE clients, spice-client-glib-3.0 is a SPICE client library for Gtk3.
xalan-j2-xsltc,库, XSLT compiler," The XSLT Compiler is a Java-based tool for compiling XSLT stylesheets into
lightweight and portable Java byte codes called translets."
ant-apache-oro,库, Optional apache oro tasks for ant, Optional apache oro tasks for ant.
libEMF,库, A library for generating Enhanced Metafiles," libEMF is a library for generating Enhanced Metafiles on systems which
don't natively support the ECMA-234 Graphics Device Interface
(GDI). The library is intended to be used as a driver for other
graphics programs such as Grace or gnuplot. Therefore, it implements a
very limited subset of the GDI."
perl-Time,库, By-name interface to Perl built-in time functions," This package provides an object-oriented interface to Perl built-in gmtime()
and localtime () functions."
libdnet,库, Simple portable interface to lowlevel networking routines," libdnet provides a simplified, portable interface to several
low-level networking routines, including network address
manipulation, kernel arp(4) cache and route(4) table lookup and
manipulation, network firewalling (IP filter, ipfw, ipchains,
pf, ...), network interface lookup and manipulation, raw IP
packet and Ethernet frame, and data transmission."
perl-Time-HiRes,库," High resolution alarm, sleep, gettimeofday, interval timers"," The Time::HiRes module implements a Perl interface to the usleep, nanosleep,
ualarm, gettimeofday, and setitimer/getitimer system calls, in other words,
high resolution time and timers."
aspnetcore-runtime-6.0,库, ASP.NET Core 6.0 runtime," The ASP.NET Core runtime contains everything needed to run .NET
web applications. It includes a high performance Virtual Machine as
well as the framework libraries used by .NET applications.

ASP.NET Core is a fast, lightweight and modular platform for creating
cross platform web applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
