name,label,predict,summary,description
accel-config-libs,应用,系统, Configuration library for accelerator subsystem devices, Libraries for accel-config.
adcli,应用,系统,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. "
alsa-plugins-samplerate,系统,应用, External rate converter plugin for ALSA," This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo."
alsa-plugins-speex,系统,应用, Rate Converter Plugin Using Speex Resampler," The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API."
alsa-sof-firmware,系统,其它,Firmware and topology files for Sound Open Firmware project ,This package contains the firmware binaries for the Sound Open Firmware project. 
alsa-utils,系统,核心, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA)."
amanda-server,应用,系统, The server side of the AMANDA tape backup system," The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda-core,系统,应用, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
anolis-logos,核心,系统,Anolis OS related icons and pictures ,"Licensed only for approved usage, see COPYING for details. "
antlr-C++,应用,系统, C++ bindings for antlr2 generated parsers, This package provides a static C++ library for parsers generated by ANTLR2.
arpwatch,应用,系统,Network monitoring tools for tracking IP addresses on a network ,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network. "
atlas-corei2,系统,应用,ATLAS libraries for Corei2 (Ivy/Sandy bridge) CPUs ,"This package contains the ATLAS (Automatically Tuned Linear Algebra
Software) libraries compiled with optimizations for the Corei2 (Ivy/Sandy bridge)
CPUs. The base ATLAS builds for the x86_64 architecture are made for the hammer64 CPUs. "
augeas,应用,系统,A library for changing configuration files ,"A library for programmatically editing configuration files. Augeas parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files.

The transformation works very hard to preserve comments and formatting
details. It is controlled by ``lens'' definitions that describe the file
format and the transformation into a tree. "
authd,系统,应用, A RFC 1413 ident protocol daemon," authd is a small and fast RFC 1413 ident protocol daemon
with both xinetd server and interactive modes that
supports IPv6 and IPv4 as well as the more popular features
of pidentd."
autofs,应用,系统,A tool for automatically mounting and unmounting filesystems ,"autofs is a daemon which automatically mounts filesystems when you use
them, and unmounts them later when you are not using them.  This can
include network filesystems, CD-ROMs, floppies, and so forth. "
autogen,应用,系统, Automated text file generator," AutoGen is a tool designed to simplify the creation and maintenance of
programs that contain large amounts of repetitious text. It is especially
valuable in programs that have several blocks of text that must be kept
synchronised."
avahi-autoipd,应用,系统,Link-local IPv4 address automatic configuration daemon (IPv4LL) ,"avahi-autoipd implements IPv4LL, ""Dynamic Configuration of IPv4
Link-Local Addresses""  (IETF RFC3927), a protocol for automatic IP address
configuration from the link-local 169.254.0.0/16 range without the need for a
central server. It is primarily intended to be used in ad-hoc networks which
lack a DHCP server. "
babel,应用,系统, Tools for internationalizing Python applications," Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
basesystem,核心,其它, The skeleton package which defines a simple  system," Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed."
bash,核心,系统,The GNU Bourne Again shell ,"The GNU Bourne Again shell (Bash) is a shell or command language
interpreter that is compatible with the Bourne shell (sh). Bash
incorporates useful features from the Korn shell (ksh) and the C shell
(csh). Most sh scripts can be run by bash without modification. "
bcc,应用,系统, BPF Compiler Collection (BCC)," BCC is a toolkit for creating efficient kernel tracing and manipulation
programs, and includes several useful tools and examples. It makes use of
extended BPF (Berkeley Packet Filters), formally known as eBPF, a new feature
that was first added to Linux 3.15. BCC makes BPF programs easier to write,
with kernel instrumentation in C (and includes a C wrapper around LLVM), and
front-ends in Python and lua. It is suited for many tasks, including
performance analysis and network traffic control."
python3-bcc,应用,系统, Python3 bindings for BPF Compiler Collection (BCC), Python3 bindings for BPF Compiler Collection (BCC)
bind-pkcs11-libs,系统,应用, Bind libraries compiled with native PKCS#11," This is a set of BIND libraries (dns, isc) compiled with native PKCS#11
functionality."
binutils,核心,系统, A GNU collection of binary utilities," Binutils is a collection of binary utilities, including ar (for
creating, modifying and extracting from archives), as (a family of GNU
assemblers), gprof (for displaying call graph profile data), ld (the
GNU linker), nm (for listing symbols from object files), objcopy (for
copying and translating object files), objdump (for displaying
information from object files), ranlib (for generating an index for
the contents of an archive), readelf (for displaying detailed
information about binary files), size (for listing the section sizes
of an object or archive file), strings (for listing printable strings
from files), strip (for discarding symbols), and addr2line (for
converting addresses to file and line)."
iowatcher,系统,应用, Utility for visualizing block layer IO patterns and performance," iowatcher generates graphs from blktrace runs to help visualize IO patterns and
performance as SVG images or movies. It can plot multiple blktrace runs
together, making it easy to compare the differences between different benchmark
runs.

You should install the iowatcher package if you need to visualize detailed
information about IO patterns."
bluez-cups,系统,应用, CUPS printer backend for Bluetooth printers, This package contains the CUPS backend
bluez-libs,系统,应用, Libraries for use in Bluetooth applications, Libraries for use in Bluetooth applications.
bluez-obexd,系统,应用,Object Exchange daemon for sharing content ,"Object Exchange daemon for sharing files, contacts etc over bluetooth "
bolt,应用,系统,Thunderbolt device manager ,"bolt is a system daemon to manage Thunderbolt devices via a D-BUS
API. Thunderbolt 3 introduced different security modes that require
devices to be authorized before they can be used. The D-Bus API can be
used to list devices, enroll them (authorize and store them in the
local database) and forget them again (remove previously enrolled
devices). It also emits signals if new devices are connected (or
removed). During enrollment devices can be set to be automatically
authorized as soon as they are connected.  A command line tool, called
boltctl, can be used to control the daemon and perform all the above
mentioned tasks. "
boost-python3,应用,系统, Run-time component of boost python library for Python 3," 
The Boost Python Library is a framework for interfacing Python and
C++. It allows you to quickly and seamlessly expose C++ classes,
functions and objects to Python, and vice versa, using no special
tools -- just your C++ compiler.  This package contains run-time
support for the Boost Python Library compiled for Python 3."
brltty,应用,系统, Braille display driver for Linux/Unix," BRLTTY is a background process (daemon) which provides
access to the Linux/Unix console (when in text mode)
for a blind person using a refreshable braille display.
It drives the braille display and provides complete
screen review functionality."
brltty-dracut,应用,核心, brltty module for Dracut, This package provides brltty module for Dracut.
tcl-brlapi,应用,系统, Tcl binding for BrlAPI, This package provides the Tcl binding for BrlAPI.
brotli,应用,系统, Lossless compression algorithm," Brotli is a generic-purpose lossless compression algorithm that compresses
data using a combination of a modern variant of the LZ77 algorithm, Huffman
coding and 2nd order context modeling, with a compression ratio comparable
to the best currently available general-purpose compression methods.
It is similar in speed with deflate but offers more dense compression."
python3-brotli,应用,系统, Lossless compression algorithm (python 3)," Brotli is a generic-purpose lossless compression algorithm that compresses
data using a combination of a modern variant of the LZ77 algorithm, Huffman
coding and 2nd order context modeling, with a compression ratio comparable
to the best currently available general-purpose compression methods.
It is similar in speed with deflate but offers more dense compression.
This package installs a Python 3 module."
byacc,应用,系统," Berkeley Yacc, a parser generator"," This package provides a parser generator utility that reads a grammar
specification from a file and generates an LR(1) parser for it.  The
parsers consist of a set of LALR(1) parsing tables and a driver
routine written in the C programming language.  It has a public domain
license which includes the generated C.

If you are going to do development on your system, you will want to install
this package."
bzip2-libs,核心,应用, Libraries for applications using bzip2," 
Libraries for applications using the bzip2 compression format."
cgdcbxd,应用,系统, DCB network priority management daemon," This is a daemon to manage the priority of network traffic in dcb enabled
environments.  By using the information exchanged over the dcbx protocol on a
LAN, this package will enforce network priority on running applications on your
host using the net_prio cgroup"
cifs-utils,系统,应用,Utilities for mounting and managing CIFS mounts ,"The SMB/CIFS protocol is a standard file sharing protocol widely deployed
on Microsoft Windows machines. This package contains tools for mounting
shares on Linux using the SMB/CIFS protocol. The tools in this package
work in conjunction with support in the kernel to allow one to mount a
SMB/CIFS share onto a client and use it as if it were a standard Linux
file system. "
clang-libs,系统,应用, Runtime library for clang, Runtime library for clang.
git-clang-format,系统,应用, Integration of clang-format for git, clang-format integration for git.
clevis-dracut,系统,核心, Dracut integration for clevis, Automatically unlocks LUKS block devices in early boot.
clutter,系统,应用, Open Source software library for creating rich graphical user interfaces," Clutter is an open source software library for creating fast,
visually rich graphical user interfaces. The most obvious example
of potential usage is in media center type applications.
We hope however it can be used for a lot more."
clutter-gst3,系统,应用, GStreamer integration library for Clutter," Clutter is an open source software library for creating fast, visually
rich and animated graphical user interfaces.

Clutter GStreamer enables the use of GStreamer with Clutter."
cracklib-dicts,系统,应用,The standard CrackLib dictionaries ,"The cracklib-dicts package includes the CrackLib dictionaries.
CrackLib will need to use the dictionary appropriate to your system,
which is normally put in /usr/share/dict/words. Cracklib-dicts also
contains the utilities necessary for the creation of new dictionaries.

If you are installing CrackLib, you should also install cracklib-dicts. "
crash,应用,系统," Kernel analysis utility for live systems, netdump, diskdump, kdump, LKCD or mcore dumpfiles"," The core analysis suite is a self-contained tool that can be used to
investigate either live systems, kernel core dumps created from the
netdump, diskdump and kdump packages from Red Hat Linux, the mcore kernel patch
offered by Mission Critical Linux, or the LKCD kernel patch."
crash-gcore-command,应用,系统, Gcore extension module for the crash utility," Command for creating a core dump file of a user-space task that was
running in a kernel dumpfile."
crash-ptdump-command,应用,系统, ptdump extension module for the crash utility," Retrieve and decode the log buffer generated by the Intel(R) Processor
Trace facility"
python3-criu,应用,系统, Python bindings for criu, python3-criu contains Python bindings for criu.
cryptsetup-libs,核心,系统, Cryptsetup shared library," This package contains the cryptsetup shared library, libcryptsetup."
cryptsetup-reencrypt,核心,系统,A utility for offline reencryption of LUKS encrypted disks. ,"This package contains cryptsetup-reencrypt utility which
can be used for offline reencryption of disk in situ. "
