idx,name,y_true,y_predict,feature
0,GConf2,库,服务,administration backends configuration database feature pluggable process store support transparent user
1,GeoIP,库,工具,address base basis country cron database enable file hostname instal ipv4 ipv6 library mapping optionally organization package update user
3,HdrHistogram_c,工具,库,dynamic high port range
4,Judy,其它,库,advantage array available benefit consume core declare design dynamic dynamically efficiency element extensible general high implement large library machine memory number performance pre provide purpose scalability scale simply size sparse state technology
6,ModemManager,工具,服务,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate networkmanager package plug plugin server software
10,OpenIPMI,库,工具,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs management network open package perl platform project python runtime share tool
11,PackageKit,库,服务,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
12,PyYAML,库,工具,allow applicable arbitrary capable complete complex configuration data design error extension feature file format human interaction language message object parser provide python range readability represent script serialization specific standard support task unicode yaml
20,accel-config,工具,库,config configuration configure device libraries library subsystem utility
21,accountsservice,库,服务,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
22,acl,工具,服务,access contain control draft dynamic function library list manipulate need package posix standard support utility
23,acpica-tools,工具,服务,advanced architecture assist basic binary code codes command comparison compiles complete component configuration contain contains content current data debug definition develop development directly display environment execution extract extraction file firmware following format help host implementation inclusion independent input instal integrate interface kernel language license machine manipulate message method need operation order os output package performs portion power project provide purpose reference release resident small source space specific specification subsystem suitable table tool tree user version write
27,adobe-mappings-pdf,工具,库,adobe application character code different file function ghostscript mapping properly resource share structure syntax type useful variety
28,adwaita-icon-theme,服务,其它,contain cursor design desktop gnome icon modern originally package theme
29,adwaita-qt,库,其它,application library theme variant
31,alsa-lib,库,服务,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
32,alsa-plugins,工具,库,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
34,alsa-tools,工具,服务,alsa available card certain contain firmware flash following loader package second sound tool upload
35,alsa-utils,工具,库,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
41,ansible-core,工具,服务,automatically based configuration daemon deployment driven execution extension instal language machine manage management model module multi node remote require simple software task transfer work write
43,ant,其它,工具,allow apache application build built command compile core dependent drive extension file generally instance java known library line main mission number pilot point process supply target task term test tool type usage
44,aom,库,工具,alliance bandwidth capable commercial consistent contain content decoder deliver device encoder file flexible focus footprint format free generated generation hardware include internet library media modern non open optimize optimized package quality real reference scalable time user video
46,apache-commons-codec,其它,库,attempt codec common commonly commons decoder encoders examples implementation include provide urls
47,apache-commons-collections,其它,库,access adapter apis array certain class closure collection commons component container core create custom data development easy fast feature implementation interface java leave method need object package powerful programming property provides purpose quick ready reduce set special structure style test typical union utility
49,apache-commons-io,其它,库,assist class commons contains develop file filter functionality implementation io library stream utilities utility
50,apache-commons-jxpath,其它,库,context defines expression graph include interpreter kind language object servlet simple xpath
52,apache-commons-logging,其它,服务,abstraction addition allow apache basic choose commons component developer difference heavily implementation interface log logging mean minimize number org orient package particular provide runtime simple small standalone user want wrapper
54,appstream-data,库,其它,center distribution gnome metadata package provide require software specific
55,apr,库,服务,apache data form free include layer library mission operate os portability portable possible provide routine runtime structure win32
57,arpwatch,工具,服务,address automatically build certain change contain database device email ethernet install ip monitor monitoring need network package pair report tool track traffic utility
60,aspell-en,工具,库,dictionary english following list provides word
61,at,工具,服务,allows batch command control drop execute file input install instead level load need note oriented package particular read shell specify standard time tool user utility
64,atk,库,工具,alternative application device graphical input interface interfaces library provide reader screen support tool toolkit user
66,atlas,工具,库,apply architecture automatically base binary bridge build compile configuration contain cpus documentation efficient effort good hardware implementation improvement information interface libraries library linear make necessary obtain optimal optimization order package performance portable present project provide routine software source specific technique time variety
68,audit,工具,服务,application audit binding configure contain database directory dispatcher dynamic event facility forward framework generate incoming interface kernel later library libs like linux machine management need os package plugin plugins provide python3 real record relay remote search server service space store subsystem thing time tool user utility
70,authselect,工具,服务,administrator approach authentication build case command common configuration configure design different feature file identity instead library line package potential potentially profile replacement ship solve source stack support test time tool use utility
72,autoconf-archive,库,其它,archive autoconf cause collection contribute free friendly internet macro software
74,autogen,工具,库,automated base command consist document eliminate library line nearly option parser parsing powerful process template time
78,awscli,工具,服务,amazon command environment interface line package provide services unified universal
80,babeltrace,工具,服务,allow common conversion converter create format library plugin project provide read trace write
84,basesystem,服务,工具,basic component define example installation order package remove simple
88,bcc,工具,其它,analysis berkeley binding collection command compiler control create easy ebpf efficient example extend feature include instrumentation kernel know line linux llvm make manipulation network packet performance program python python3 suit task tool toolkit trace traffic useful wrapper write
91,binutils,工具,库,address archive assembler binary binutils collection content convert copying create data detailed discard display extract family file generate graph include index information line linker list modify objdump object printable profile readelf section size string strip symbol translate utility
92,biosdevname,工具,库,argument bios device directly form helper kernel label necessary return simple udev
93,bison,库,工具,able available binary calculator change compatible complex contain context convert correctly depend description develop development ensure file free general generate generated generator grammar information install internationalization know lalr language manual need package packages parse parser program programming purpose range runtime section simple support wide work write yacc
