idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable process store support transparent user
2,GeoIP-GeoLite-data,库,其它,address available com contain country create data database free http include ipv4 ipv6 number package plus product www
6,ModemManager,工具,服务,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
8,NetworkManager-libreswan,库,工具,capability contain desktop file gnome integrate networkmanager package plug plugin server software
10,OpenIPMI,库,服务,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs management network open package perl platform project python runtime share tool
11,PackageKit,库,工具,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
15,Xaw3d,工具,库,application change code dimensional enhanced incorporate install like look minimal source version widget window
20,accel-config,工具,库,config configuration configure device libraries library subsystem utility
21,accountsservice,库,服务,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
29,adwaita-qt,库,其它,application library theme variant
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
32,alsa-plugins,工具,其它,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
34,alsa-tools,工具,服务,alsa available card certain contain firmware flash following loader package second sound tool upload
35,alsa-utils,工具,库,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
43,ant,其它,工具,allow apache application build built command compile core dependent drive extension file generally instance java known library line main mission number pilot point process supply target task term test tool type usage
45,apache-commons-cli,其它,库,argument command easy interface java library line option provide simple work
54,appstream-data,库,其它,center distribution gnome metadata package provide require software specific
55,apr,库,服务,apache data form free include layer library mission operate os portability portable possible provide routine runtime structure win32
57,arpwatch,工具,服务,address automatically build certain change contain database device email ethernet install ip monitor monitoring need network package pair report tool track traffic utility
60,aspell-en,工具,库,dictionary english following list provides word
63,at-spi2-core,工具,服务,access allows application assistive based break bus completely control daemon definition essentially expose gtk interact interface internals major previous protocol query reader rewrite screen script technology tools transport version
64,atk,库,工具,alternative application device graphical input interface interfaces library provide reader screen support tool toolkit user
68,audit,工具,服务,application audit binding configure contain database directory dispatcher dynamic event facility forward framework generate incoming interface kernel later library libs like linux machine management need os package plugin plugins provide python3 real record relay remote search server service space store subsystem thing time tool user utility
70,authselect,工具,服务,administrator approach authentication build case command common configuration configure design different feature file identity instead library line package potential potentially profile replacement ship solve source stack support test time tool use utility
72,autoconf-archive,库,工具,archive autoconf cause collection contribute free friendly internet macro software
74,autogen,工具,库,automated base command consist document eliminate library line nearly option parser parsing powerful process template time
79,babel,工具,库,access application build catalog common compose data date display formatting gettext interface internationalize library locale major message number provide python repository tool various work
85,bash,工具,库,bash command compatible feature incorporate interpreter language modification script shell useful
93,bison,库,工具,able available binary calculator change compatible complex contain context convert correctly depend description develop development ensure file free general generate generated generator grammar information install internationalization know lalr language manual need package packages parse parser program programming purpose range runtime section simple support wide work write yacc
96,bluez,工具,服务,adapter application automatically bluetooth button configuration connect contact contain content daemon device example exchange file function include instal install keyboard libraries like make manual mobile mode mouse need note object package pair phone regular require rule script share ship start support switch udev utilities utility want work
101,boost,库,工具,11 additional advanced allow application atomic base buffer callback class code command compiler comply component concept configurable configuration constraint container context coordinate copy core data date define developer diagnostics directory draft easy emphasis entry establish execution exist expression extend extension facility feature file filesystem filter flexible framework free function functionality future generic graph handling highly implement implementation include inclusion individual interface known language late library line little locale localization log logging long make manage manipulate math memory method micro multiple obtain offer operate operation option order pair path persistence point portable portion preprocessor present program programming provide public query random range reference regular require run runtime schedule separate serialization signal single slot sort source specific standard standards stream style subroutine suitable support switch synchronize template thread time tool type unicode useful user userland utility value variable wide work
102,booth,工具,服务,cluster core distribute executables facilitate file locate location manage manager multi pacemaker resource site support
104,brasero,工具,库,application cd contain desktop dvd easy extension gnome libraries library libs nautilus package runtime share simple
106,brltty,工具,其它,access application background bind binding complete console daemon directly display documentation dracut drive driver functionality install interface java linux mode module ng package process programming provide python run screen support text time unix
108,bubblewrap,库,服务,bin binary container core engine execution kernel namespaces tool user usr work
111,bzip2,工具,其它,application approximately available balance benefit best bzip2 capability compress compression compressor data decompression fast faster file format free freely high install libraries need patent quality speed technique time utility
114,ca-certificates,工具,服务,bundle certificate choose contain foundation internet mozilla package root
116,cairo,库,工具,acceleration advantage available binding buffer cairo consistent contain currently design display file functionality gnome gobject graphic hardware high image include integrate library make medium memory object output package postscript print produce provide quality support target window
121,celt051,库,工具,audio bitstream close codec codecs communication design file format high low mean normal package parallel particular quality realtime rename require special speech speex stable symbol traditional transform transmission version vorbis
123,certmonger,工具,服务,certificate client concern enrollment monitor primarily service status
