label,count,precision,recall,f1-score
基础环境,8,1.0,0.625,0.7692307692307693
核心库,10,0.30434782608695654,0.7,0.42424242424242425
核心工具,10,0.4444444444444444,0.8,0.5714285714285714
系统服务,9,1.0,0.3333333333333333,0.5
系统库,10,0.7272727272727273,0.8,0.761904761904762
系统工具,8,0.6666666666666666,0.25,0.36363636363636365
应用服务,10,0.5,0.5,0.5
应用库,10,0.8888888888888888,0.8,0.8421052631578948
应用工具,10,0.5454545454545454,0.6,0.5714285714285713
编程语言,8,1.0,0.625,0.7692307692307693
其它,6,1.0,0.16666666666666666,0.2857142857142857

模型整体 accuracy: 0.5858585858585859

库、工具、核心
标签
结果上分层
