idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable process store support transparent user
6,ModemManager,工具,库,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
8,NetworkManager-libreswan,库,工具,capability contain desktop file gnome integrate networkmanager package plug plugin server software
10,OpenIPMI,库,工具,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs management network open package perl platform project python runtime share tool
11,PackageKit,库,工具,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
15,Xaw3d,工具,库,application change code dimensional enhanced incorporate install like look minimal source version widget window
20,accel-config,工具,库,config configuration configure device libraries library subsystem utility
21,accountsservice,库,工具,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
24,acpid,服务,工具,daemon event program space user
28,adwaita-icon-theme,服务,其它,contain cursor design desktop gnome icon modern originally package theme
29,adwaita-qt,库,其它,application library theme variant
30,alsa-firmware,服务,工具,alsa binary card contain firmware include loader number package require sound supported tools
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
32,alsa-plugins,工具,库,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
33,alsa-sof-firmware,服务,工具,binary contain debug file firmware open package project sound topology
35,alsa-utils,工具,库,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
38,anaconda-user-help,工具,库,anaconda built content help package provide
39,anolis-logos,服务,工具,anolis copying httpd icon licensed picture related usage
40,anolis-release,服务,库,anolis file package release repository signature
43,ant,其它,库,allow apache application build built command compile core dependent drive extension file generally instance java known library line main mission number pilot point process supply target task term test tool type usage
45,apache-commons-cli,其它,库,argument command easy interface java library line option provide simple work
55,apr,库,工具,apache data form free include layer library mission operate os portability portable possible provide routine runtime structure win32
60,aspell-en,工具,库,dictionary english following list provides word
66,atlas,工具,库,apply architecture automatically base binary bridge build compile configuration contain cpus documentation efficient effort good hardware implementation improvement information interface libraries library linear make necessary obtain optimal optimization order package performance portable present project provide routine software source specific technique time variety
69,augeas,服务,工具,change comment configuration control definition edit expose file format hard libraries library make parse preserve public read structure transformation tree work write
72,autoconf-archive,库,其它,archive autoconf cause collection contribute free friendly internet macro software
73,autofs,服务,工具,automatically cd daemon filesystems floppy include later mount network tool
74,autogen,工具,库,automated base command consist document eliminate library line nearly option parser parsing powerful process template time
77,avahi,服务,工具,able address application automatic avahi binding central computer configuration contain convenient daemon dhcp discovery dynamic easy facilitate file glib gobject ietf implement intend ipv4 kind libraries library libs link local macos mean need network package people plug primarily print printer program protocol python3 range run server service share technology time view wrapper
78,awscli,工具,库,amazon command environment interface line package provide services unified universal
83,baobab,工具,库,able analyzer auto branch change device directory filesystem graphical home include make order real representation scan size specific time tree user
84,basesystem,服务,工具,basic component define example installation order package remove simple
89,bind,服务,工具,application berkeley bind build contain dhcp domain export implementation internet library libs package version
91,binutils,工具,库,address archive assembler binary binutils collection content convert copying create data detailed discard display extract family file generate graph include index information line linker list modify objdump object printable profile readelf section size string strip symbol translate utility
93,bison,库,工具,able available binary calculator change compatible complex contain context convert correctly depend description develop development ensure file free general generate generated generator grammar information install internationalization know lalr language manual need package packages parse parser program programming purpose range runtime section simple support wide work write yacc
96,bluez,工具,服务,adapter application automatically bluetooth button configuration connect contact contain content daemon device example exchange file function include instal install keyboard libraries like make manual mobile mode mouse need note object package pair phone regular require rule script share ship start support switch udev utilities utility want work
99,bolt,服务,工具,automatically bus command connect control daemon database device different enrollment introduce line list local manage manager mode perform previously remove require security signal store task tool
104,brasero,工具,库,application cd contain desktop dvd easy extension gnome libraries library libs nautilus package runtime share simple
106,brltty,工具,库,access application background bind binding complete console daemon directly display documentation dracut drive driver functionality install interface java linux mode module ng package process programming provide python run screen support text time unix
107,brotli,库,工具,algorithm available best combination compress compression context currently data general generic lossless method modern offer order purpose ratio similar speed variant
108,bubblewrap,库,工具,bin binary container core engine execution kernel namespaces tool user usr work
110,byzanz,工具,库,command desktop ease format image include line optionally record recorder recording sound tool video
114,ca-certificates,工具,其它,bundle certificate choose contain foundation internet mozilla package root
115,cachefilesd,服务,工具,cache caching daemon directory disk file local manage management network persistent space user
119,cdrdao,工具,库,allow area audio base cd complete content control description disc disk lead length mode pre record recording rs single step textual track write
122,ceph,服务,库,access allow application block client cluster develop device distribute distributed file interface library like manage multiple object reliable shared simple storage store strip
129,chrome-gnome-shell,工具,其它,browser capable connector extension extensions firefox gnome google host http integration manage messaging native org provide repository shell support
130,chrony,服务,工具,client computer implementation input keyboard manual network operate protocol provide reference server service time
132,cifs-utils,工具,其它,able allow authentication automatically cifs client conjunction contain credential deploy establish file filesystem kernel keyring linux login machine manage microsoft module mount need ntlm option package password protocol provide purpose session share standard support tool user utilities widely windows work
134,cjose,库,工具,nannan
136,cldr-emoji-annotation,工具,其它,annotation file language package provide
137,clevis,工具,库,allow automate automated automatic automatically basic bind block boot building commonly data desktop device directly dracut early enable encrypt encryption environment example framework gnome integration like occur package policy provide require root sophisticated support systemd users volume
139,clucene,工具,库,alternative analyzer apache bring contain core date engine functionality high http java language module org popular port search similar specific speed text version
142,clutter-gst2,库,其它,clutter create enable fast graphical gstreamer integration interface library open rich software source user visually
143,clutter-gst3,库,其它,clutter create enable fast graphical gstreamer integration interface library open rich software source user visually
144,clutter-gtk,库,工具,allow application basic clutter embed gtk inside library stage widget
146,cockpit,库,工具,administer authenticate authentication base behalf bridge browser card certificate client cockpit command component configuration configure console contain dbus diagnostic enable freeipa gnu inspection instal interactive interface line linux listen network offer package report selinux server service session shell smart troubleshoot user
149,cockpit-session-recording,库,工具,allow cockpit component configuration generate journal module playback provide record recording session terminal view
150,codemodel,库,工具,code compiler file generate generator java jaxb library program project provide schema source spin
152,color-filesystem,库,其它,color directory filesystem layout package provide required store used
153,colord,服务,库,color context daemon device level library profile
158,containerd,服务,其它,available complete container daemon emphasis execution gopkg host image level lifecycle linux low manage network open portability reliable runtime simplicity standard storage test transfer windows
162,corosync,库,工具,cluster contain corosync engine libraries library package
165,cppcheck,工具,库,analysis code compiler detect error goal normally primarily real static syntax tool type unlike zero
166,cppunit,工具,库,automatic base framework junit output port test testing unit
167,cracklib,库,工具,actually appropriate certain characteristic check checking choose conjunction contain creation determine dictionary easy entry exist function generate guess include instal install library match necessary need normally oriented package particular passwd password pattern perform program purpose replacement secure security share standard stop test user users usr utility want word
168,crash,工具,库,analysis core create dump kernel linux live mission offer package patch self suite tool utility
169,crash-gcore-command,工具,库,command core crash create dump extension file kernel module space task user utility
170,crash-ptdump-command,工具,库,buffer crash decode extension facility generate intel module processor retrieve trace utility
171,crash-trace-command,工具,库,command crash data extension module read trace utility
174,cronie,服务,工具,ability allow arbitrary configuration contain cron daemon default enhancement execute execution extra feature fork good like multiple original power program regular related resource schedule security selinux setting share simple specify standard style time tool unix using utility
181,cups,服务,库,apple application berkeley command cups develop interface layer library libs line need operate package portable printing provide solution standard unix user vendor
183,cups-pk-helper,库,其它,application available config configuration control cups helper interface make policykit printer
185,cyrus-imapd,库,工具,access administration administrative advantage allow base calendar compatible concurrent connection contact contain contains control convert database design differ efficiency email enterprise environment file filesystem hierarchy high imap implementation instal internal internet large list mail message multiple node normally open package performance permit pop3 private program protocol provide read scalability scalable seamless server small software specification standards storage store support technology timezone tool user utilities utility utils version wide write
188,dbus,其它,服务,access application bus common configuration contain dbus facility file implementation interact libraries library login message messaging package provide reference send service session setup tools user utilities utility wide
189,dbus-c++,库,其它,attempt binding bus contain dbus glib integration library native package provide subpackages
191,dbus-python,库,其它,binding bus python3
196,dcraw,工具,库,camera command contain data decode digital download image line package tool
199,dde-api,库,其它,daemon
204,dde-device-formatter,其它,库,block create device file graphical interface simple
226,deepin-devicemanager,其它,工具,device hardware information manage manager tool view
245,deepin-terminal,其它,工具,application built console deepin default embeddable emulation emulator enabled library share terminal unicode widget
