idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable preference process store support transparent user
2,GeoIP-GeoLite-data,库,其它,address available city com contain country create data database free geolocation http include ipv4 ipv6 maxmind number package plus product www
3,HdrHistogram_c,工具,库,dynamic hdrhistogram high histogram port range
4,Judy,其它,库,advantage allocated array available benefit bound consume core declare design desire dynamic dynamically efficiency element extensible general grow high implement large library machine memory null number performance pointer populate pre provide purpose scalability scale simply size sparse state technology unbounded
6,ModemManager,工具,服务,application broadband client consistent contain device easy functionality glib interact libraries library make management manages mobile modem package provide service support wwan
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate ipsec libreswan networkmanager package plug plugin server software
10,OpenIPMI,库,服务,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs listener management network open openipmi package perl platform project python runtime share tool
11,PackageKit,库,服务,abstraction access allow application architecture automatically bus codecs command configured cron crontab cross distro font glib gstreamer gtk3 helper install layer library line manage management module offer package packagekit pango plugin program related repository secure service session simple user utility
15,Xaw3d,工具,库,application athena change code dimensional enhanced incorporate install like look minimal source version widget window
20,accel-config,工具,库,accelerator config configuration configure device libraries library subsystem utility
21,accountsservice,库,服务,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user useradd userdel usermod want
23,acpica-tools,工具,服务,acpi advanced architecture assist basic binary code codes command comparison compiles complete component configuration contain contains content current data debug definition develop development directly display environment execution extract extraction file firmware following format gplv2 help host implementation inclusion independent input instal integrate interface kernel keywords language license machine manipulate message method need op operation order os output package performs portion power project provide purpose reference release resident simulate small source space specific specification subsystem suitable table tool tree user version write
27,adobe-mappings-pdf,工具,其它,adobe application character cids cmap code confuse different file function ghostscript mapping properly resource share structure syntax type useful variety
28,adwaita-icon-theme,服务,其它,adwaita contain cursor design desktop gnome icon modern originally package theme
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide rout runtime simplify sound support universal
32,alsa-plugins,工具,服务,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input jean kind like marc mixer mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record resampler signal simple slave sound specific speex stereo stream suite surround task type uk usb use using virtual word www
34,alsa-tools,工具,服务,alsa available card certain contain firmware flash following loader package phase second sound tool upload
41,ansible-core,工具,其它,ansible automatically based configuration daemon deployment driven execution extension instal language machine manage management model module multi node remote require simple software ssh task transfer work write
43,ant,其它,工具,allow apache application assemble build built command compile core dependent drive effectively extension file generally instance java known library line main mission number pilot point process supply target task term test tool type usage
44,aom,库,服务,alliance bandwidth capable commercial computational consistent contain content decoder deliver delivery designed device encoder file flexible focus footprint format free generated generation hardware include internet interoperable library media modern non open optimize optimized package quality real reference royalty scalable time user video
45,apache-commons-cli,其它,库,argument command easy interface java library line option provide simple work
