name,label,predict,summary,description
nispor,库,工具, API for network status querying, Unified interface for Linux network state querying.
mariadb-oqgraph-engine,库,工具, The Open Query GRAPH engine for MariaDB," The package provides Open Query GRAPH engine (OQGRAPH) as plugin for MariaDB
database server. OQGRAPH is a computation engine allowing hierarchies and more
complex graph structures to be handled in a relational fashion. In a nutshell,
tree structures and friend-of-a-friend style searches can now be done using
standard SQL syntax, and results joined onto other tables."
python3-argh,库,工具, Unobtrusive argparse wrapper with natural syntax," 
Building a command-line interface?  Found yourself uttering __rgh!_
while struggling with the API of argparse?  Don__ want to lose its
power but don__ need the complexity?

python-argh provides a wrapper for argparse.  Argparse is a very powerful
tool;  python-argh just makes it easy to use."
nbdkit-curl-plugin,库,工具, HTTP/FTP (cURL) plugin for nbdkit, This package contains cURL (HTTP/FTP) support for nbdkit.
ffmpeg,库,工具, Digital VCR and streaming server," FFmpeg is a complete and free Internet live audio and video
broadcasting solution for Linux/Unix. It also includes a digital
VCR. It can encode in real time in many formats including MPEG1 audio
and video, MPEG4, h263, ac3, asf, avi, real, mjpeg, and flash."
efi-filesystem,库,工具,The basic directory layout for EFI machines ,"The efi-filesystem package contains the basic directory layout for EFI
machine bootloaders and tools. "
gutenprint,库,工具, Printer Drivers Package," Gutenprint is a package of high quality printer drivers for Linux, BSD,
Solaris, IRIX, and other UNIX-alike operating systems.
Gutenprint was formerly called Gimp-Print."
libmatchbox,库,工具, Libraries for the Matchbox Desktop," Matchbox is a base environment for the X Window System running on non-desktop
embedded platforms such as handhelds, set-top boxes, kiosks and anything else
for which screen space, input mechanisms or system resources are limited."
jack-audio-connection-kit,库,服务, The Jack Audio Connection Kit," JACK is a low-latency audio server, written primarily for the Linux operating
system. It can connect a number of different applications to an audio device, as
well as allowing them to share audio between themselves. Its clients can run in
their own processes (i.e. as a normal application), or can they can run within a
JACK server (i.e. a ""plugin"").

JACK is different from other audio server efforts in that it has been designed
from the ground up to be suitable for professional audio work. This means that
it focuses on two key areas: synchronous execution of all clients, and low
latency operation."
bnd-maven-plugin,库,工具, BND Maven plugin, BND Maven plugin.
libquvi-scripts,库,工具, Embedded lua scripts for parsing the media details," libquvi-scripts contains the embedded lua scripts that libquvi
uses for parsing the media details. Some additional utility
scripts are also included."
libtiff-tools,库,工具, Command-line utility programs for manipulating TIFF files," This package contains command-line programs for manipulating TIFF format
image files using the libtiff library."
