1061 4906
1287 5839
5409 3997
429 2145
4979 2873
234 4251
1339 3714
6150 6155
4043 3754
510 1643
607 864
3388 5462
1343 5308
2654 2707
607 4770
6748 3669
510 4893
152 151
5832 421
1684 3836
2431 2417
2724 5317
2162 2025
3269 2212
3264 1246
3108 1265
324 416
3290 2172
1063 1578
5832 5829
6748 1062
1343 3863
3259 6713
3101 3096
3134 1673
2162 5712
1339 1440
5117 4095
234 1535
1063 1604
5221 6545
2246 950
1769 4763
1343 1124
1744 6539
2246 423
6748 268
3262 4015
1343 6438
542 2173
234 5754
4145 1375
4716 5842
2873 1260
4400 4582
2423 2410
14 19
3268 6668
1343 2851
3710 3680
5246 4797
1343 910
398 6375
3443 3446
6682 6708
4481 4630
4295 4369
1343 797
234 5813
4074 4067
1272 1394
3260 3766
174 5839
4400 4671
234 2373
591 5808
1343 2488
4295 4296
4283 585
1339 387
234 168
6574 484
5826 5825
6160 6208
3774 1221
1243 2374
1339 1288
234 1017
2107 1246
3457 3546
1343 4286
5538 4886
1680 2050
2850 3169
3252 3285
3763 1270
609 3992
4421 3914
3737 651
5460 816
2708 4762
2718 6416
1061 6486
1303 629
5348 5217
3265 398
1343 1402
4837 3526
3269 1073
4380 4283
6466 5856
4400 4570
5063 4100
6063 6191
1684 1437
2213 2212
3203 3211
2638 5832
1174 1187
6039 2642
344 345
1243 894
1339 3305
1130 1120
4168 4246
1343 56
2438 2396
4145 4017
6710 4899
4037 739
1777 1870
1343 5736
1130 2899
2724 5370
6174 6342
1343 4273
831 2735
5364 2410
213 6540
1343 4778
4788 3707
6060 6348
234 2484
4184 4220
2853 1372
5005 3146
4283 4592
1343 818
2450 2454
6642 3095
5330 1303
1684 2757
3116 4114
6573 1674
6748 826
4074 2056
1339 2738
4283 6289
6174 6146
1061 1684
3224 3217
6748 5454
6241 6089
2409 2401
4145 4066
91 113
1339 6548
1339 1694
5330 1629
4568 4472
2439 2441
4283 3778
1243 2636
74 70
1365 1239
3138 1710
3715 3651
6482 6485
4481 63
310 311
2378 5779
2396 2487
4951 4125
2827 1126
4142 6382
3284 867
1343 3250
2427 2479
2629 2078
1137 2488
234 3212
3457 403
5757 5775
1343 2684
614 2069
4074 5649
4159 3372
5686 6608
1137 5348
6174 6082
2246 5446
1343 52
1343 4162
6174 6159
1343 3835
6310 6229
5835 3093
396 1080
580 3787
544 5796
1063 1605
1645 1646
1343 1355
234 5776
5372 5370
2029 751
3276 4058
4291 4529
4295 1316
3288 6644
3407 4111
1343 687
2246 5737
5248 1045
1130 794
4056 4058
3388 5465
3866 4874
234 2142
6748 1349
1339 6375
3285 3248
234 5751
5419 1098
6117 6237
1343 5660
1455 867
4283 4535
189 5455
4145 488
4049 3008
4912 5463
1094 4908
5749 5466
1684 6561
6577 894
4912 851
3190 1373
1343 4916
4645 4299
1137 2388
6729 6399
4291 5404
816 530
1130 521
4472 4721
1137 2416
4295 4675
1343 3752
1339 6385
2246 3576
3276 899
4184 4194
398 689
2833 2953
4662 4432
4481 4475
4283 4551
398 1264
4739 4749
4858 4866
1343 698
234 1146
1036 3179
6477 3799
6509 30
879 878
2637 1372
7 3008
178 1999
2976 3028
6174 6260
5333 5353
6039 4779
3276 3871
5099 5221
4218 4258
1137 438
3170 5766
4291 4499
3138 1289
399 1665
3928 3927
234 3736
35 5658
4055 883
2137 420
4377 4283
2947 2956
234 2368
3655 3702
2046 1230
1137 820
1094 2162
4707 4381
6748 2178
1137 4029
1343 3646
1777 1832
3273 6718
234 810
2728 6735
1722 3742
4074 1308
3937 1199
5872 5943
6748 3846
5772 5770
641 665
3116 1239
5005 1042
5330 4909
5832 6619
4421 4591
1634 2947
6150 6206
4295 4595
580 3754
6069 6100
4951 4794
1130 3800
2287 4836
545 5837
474 5839
234 4165
5455 5434
3648 3647
234 2170
1061 6389
1459 1247
4037 4725
2728 2795
6620 2345
2882 6237
2885 4924
1339 3231
2246 402
1343 2841
1343 3199
4288 63
1343 5340
5749 5464
1343 4282
914 5803
