label,count,precision,recall,f1-score
基础环境,13,1.0,0.6153846153846154,0.761904761904762
核心库,13,0.8,0.6153846153846154,0.6956521739130435
核心工具,15,0.3333333333333333,0.9333333333333333,0.4912280701754386
系统服务,14,0.75,0.42857142857142855,0.5454545454545454
系统库,13,1.0,0.38461538461538464,0.5555555555555556
系统工具,15,0.47619047619047616,0.6666666666666666,0.5555555555555556
应用服务,14,1.0,0.6428571428571429,0.782608695652174
应用库,15,0.42424242424242425,0.9333333333333333,0.5833333333333333
应用工具,13,1.0,0.23076923076923078,0.375
编程语言,9,1.0,0.3333333333333333,0.5
其它,8,0,0.0,

模型整体 accuracy: 0.5633802816901409
